Date,Close
2024-06-18,338.31
2024-06-19,343.99
2024-06-20,353.14
2024-06-21,353.46
2024-06-22,358.46
2024-06-23,356.42
2024-06-24,358.91
2024-06-25,358.15
2024-06-26,359.03
2024-06-27,363.48
2024-06-28,357.71
2024-06-29,372.86
2024-06-30,365.54
2024-07-01,356.85
2024-07-02,365.29
2024-07-03,371.26
2024-07-04,376.08
2024-07-05,380.99
2024-07-06,381.09
2024-07-07,374.44
2024-07-08,375.2
2024-07-09,370.3
2024-07-10,377.71
2024-07-11,376.79
2024-07-12,370.76
2024-07-13,368.56
2024-07-14,371.79
2024-07-15,367.78
2024-07-16,361.92
2024-07-17,363.86
2024-07-18,365.83
2024-07-19,362.3
2024-07-20,359.07
2024-07-21,360.92
2024-07-22,350.64
2024-07-23,340.95
2024-07-24,336.22
2024-07-25,334.95
2024-07-26,337.2
2024-07-27,347.32
2024-07-28,353.45
2024-07-29,352.5
2024-07-30,352.54
2024-07-31,345.65
2024-08-01,345.69
2024-08-02,343.87
2024-08-03,346.26
2024-08-04,340.71
2024-08-05,344.42
2024-08-06,355.15
2024-08-07,354.55
2024-08-08,357.58
2024-08-09,362.69
